Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,Lane,LibraryLayout,LibrarySelection,LibrarySource,Organism,plate_position,Platform,ReleaseDate,create_date,version,sample_identity,Sample Name,source_name,SRA Study
SRR9659740,RNA-Seq,67,1943469,PRJNA553537,SAMN12237272,852045,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420719,GSM3933663,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A1,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:55:00Z,1,S1,GSM3933663,MCF7,SRP213890
SRR9659741,RNA-Seq,73,71841406,PRJNA553537,SAMN12237271,27475816,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420720,GSM3933664,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A10,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:55:00Z,1,S28,GSM3933664,MCF7,SRP213890
SRR9659742,RNA-Seq,71,281874,PRJNA553537,SAMN12237270,198847,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420721,GSM3933665,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A11,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:55:00Z,1,S29,GSM3933665,MCF7,SRP213890
SRR9659743,RNA-Seq,74,155041603,PRJNA553537,SAMN12237269,59754038,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420722,GSM3933666,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A12,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S30,GSM3933666,MCF7,SRP213890
SRR9659744,RNA-Seq,73,25186929,PRJNA553537,SAMN12237268,9673780,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420976,GSM3933667,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A2,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:55:00Z,1,S2,GSM3933667,MCF7,SRP213890
SRR9659745,RNA-Seq,74,97978230,PRJNA553537,SAMN12237267,37638697,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420977,GSM3933668,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A3,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S3,GSM3933668,MCF7,SRP213890
SRR9659746,RNA-Seq,74,134543084,PRJNA553537,SAMN12237266,51803182,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420978,GSM3933669,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A4,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S4,GSM3933669,MCF7,SRP213890
SRR9659747,RNA-Seq,74,110954206,PRJNA553537,SAMN12237265,42785927,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420979,GSM3933670,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A5,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S5,GSM3933670,MCF7,SRP213890
SRR9659748,RNA-Seq,74,121496815,PRJNA553537,SAMN12237264,46992506,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420980,GSM3933671,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A6,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S6,GSM3933671,MCF7,SRP213890
SRR9659749,RNA-Seq,70,3818720,PRJNA553537,SAMN12237263,1571069,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420981,GSM3933672,Illumina HiSeq 4000,1,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A7,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:55:00Z,1,S25,GSM3933672,MCF7,SRP213890
SRR9659750,RNA-Seq,74,114610663,PRJNA553537,SAMN12237211,44380606,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420933,GSM3933913,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,E8,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S230,GSM3933913,MCF7,SRP213890
SRR9659751,RNA-Seq,74,74615972,PRJNA553537,SAMN12237210,28801269,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420934,GSM3933914,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,E9,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S231,GSM3933914,MCF7,SRP213890
SRR9659752,RNA-Seq,74,100406146,PRJNA553537,SAMN12237209,38742021,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420935,GSM3933915,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F1,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S253,GSM3933915,MCF7,SRP213890
SRR9659753,RNA-Seq,74,103721374,PRJNA553537,SAMN12237208,40233442,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420936,GSM3933916,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F10,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S280,GSM3933916,MCF7,SRP213890
SRR9659754,RNA-Seq,73,55069527,PRJNA553537,SAMN12237207,21006971,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420937,GSM3933917,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F11,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S281,GSM3933917,MCF7,SRP213890
SRR9659755,RNA-Seq,74,93969110,PRJNA553537,SAMN12237206,36381031,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420938,GSM3933918,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F12,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S282,GSM3933918,MCF7,SRP213890
SRR9659756,RNA-Seq,74,126097103,PRJNA553537,SAMN12237205,48525746,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420939,GSM3933919,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F2,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S254,GSM3933919,MCF7,SRP213890
SRR9659757,RNA-Seq,74,115365149,PRJNA553537,SAMN12237204,44283599,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420940,GSM3933920,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F3,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S255,GSM3933920,MCF7,SRP213890
SRR9659758,RNA-Seq,74,124942035,PRJNA553537,SAMN12237203,48077841,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420941,GSM3933921,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F4,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S256,GSM3933921,MCF7,SRP213890
SRR9659759,RNA-Seq,74,102461542,PRJNA553537,SAMN12237202,39645813,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420943,GSM3933922,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F5,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S257,GSM3933922,MCF7,SRP213890
SRR9659760,RNA-Seq,74,120092993,PRJNA553537,SAMN12237201,46264561,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420944,GSM3933923,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F6,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S258,GSM3933923,MCF7,SRP213890
SRR9659761,RNA-Seq,74,99420897,PRJNA553537,SAMN12237200,38402695,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420945,GSM3933924,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F7,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S277,GSM3933924,MCF7,SRP213890
SRR9659762,RNA-Seq,74,117439394,PRJNA553537,SAMN12237199,45572058,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420946,GSM3933925,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F8,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S278,GSM3933925,MCF7,SRP213890
SRR9659763,RNA-Seq,74,92402828,PRJNA553537,SAMN12237198,36184916,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420947,GSM3933926,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,F9,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S279,GSM3933926,MCF7,SRP213890
SRR9659764,RNA-Seq,74,137765940,PRJNA553537,SAMN12237197,53007611,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420948,GSM3933927,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G1,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S301,GSM3933927,MCF7,SRP213890
SRR9659765,RNA-Seq,74,110405321,PRJNA553537,SAMN12237196,42518947,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420949,GSM3933928,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G10,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S328,GSM3933928,MCF7,SRP213890
SRR9659766,RNA-Seq,74,45034339,PRJNA553537,SAMN12237195,17314393,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420950,GSM3933929,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G11,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S329,GSM3933929,MCF7,SRP213890
SRR9659767,RNA-Seq,74,78512790,PRJNA553537,SAMN12237194,30056567,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420951,GSM3933930,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G12,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S330,GSM3933930,MCF7,SRP213890
SRR9659768,RNA-Seq,74,105096741,PRJNA553537,SAMN12237193,40472038,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420952,GSM3933931,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G2,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:56:00Z,1,S302,GSM3933931,MCF7,SRP213890
SRR9659769,RNA-Seq,73,99850427,PRJNA553537,SAMN12237192,38093529,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420953,GSM3933932,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G3,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S303,GSM3933932,MCF7,SRP213890
SRR9659770,RNA-Seq,74,130549857,PRJNA553537,SAMN12237191,50145565,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420954,GSM3933933,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G4,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S304,GSM3933933,MCF7,SRP213890
SRR9659771,RNA-Seq,74,100546817,PRJNA553537,SAMN12237190,38817714,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420955,GSM3933934,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G5,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S305,GSM3933934,MCF7,SRP213890
SRR9659772,RNA-Seq,74,89902931,PRJNA553537,SAMN12237233,34674798,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420956,GSM3933935,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G6,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S306,GSM3933935,MCF7,SRP213890
SRR9659773,RNA-Seq,74,81003120,PRJNA553537,SAMN12237232,31112808,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420957,GSM3933936,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G7,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S325,GSM3933936,MCF7,SRP213890
SRR9659774,RNA-Seq,74,78338367,PRJNA553537,SAMN12237231,29968426,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420958,GSM3933937,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G8,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S326,GSM3933937,MCF7,SRP213890
SRR9659775,RNA-Seq,74,46477134,PRJNA553537,SAMN12237230,17850804,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420959,GSM3933938,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,G9,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S327,GSM3933938,MCF7,SRP213890
SRR9659776,RNA-Seq,74,67721815,PRJNA553537,SAMN12237229,26146869,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420960,GSM3933939,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H1,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S349,GSM3933939,MCF7,SRP213890
SRR9659777,RNA-Seq,74,138450978,PRJNA553537,SAMN12237228,53415569,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420961,GSM3933940,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H10,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S376,GSM3933940,MCF7,SRP213890
SRR9659778,RNA-Seq,74,92295995,PRJNA553537,SAMN12237227,35723383,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420962,GSM3933941,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H12,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S378,GSM3933941,MCF7,SRP213890
SRR9659779,RNA-Seq,74,39709190,PRJNA553537,SAMN12237226,15276695,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420963,GSM3933942,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H13,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S377,GSM3933942,MCF7,SRP213890
SRR9659780,RNA-Seq,74,65805517,PRJNA553537,SAMN12237225,25492465,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420964,GSM3933943,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H2,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S350,GSM3933943,MCF7,SRP213890
SRR9659781,RNA-Seq,74,22817243,PRJNA553537,SAMN12237224,8808820,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420965,GSM3933944,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H3,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S351,GSM3933944,MCF7,SRP213890
SRR9659782,RNA-Seq,74,22580001,PRJNA553537,SAMN12237146,8782254,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420966,GSM3933945,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H4,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S352,GSM3933945,MCF7,SRP213890
SRR9659783,RNA-Seq,74,67177340,PRJNA553537,SAMN12237145,26069804,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420967,GSM3933946,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H5,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S353,GSM3933946,MCF7,SRP213890
SRR9659784,RNA-Seq,74,50330668,PRJNA553537,SAMN12237144,19442367,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420968,GSM3933947,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H6,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S354,GSM3933947,MCF7,SRP213890
SRR9659785,RNA-Seq,69,704937,PRJNA553537,SAMN12237143,367187,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420969,GSM3933948,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H7,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S373,GSM3933948,MCF7,SRP213890
SRR9659786,RNA-Seq,74,110648893,PRJNA553537,SAMN12237142,42990213,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420970,GSM3933949,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H8,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S374,GSM3933949,MCF7,SRP213890
SRR9659787,RNA-Seq,74,125038469,PRJNA553537,SAMN12237141,47949126,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420971,GSM3933950,Illumina HiSeq 4000,3,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,H9,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S375,GSM3933950,MCF7,SRP213890
SRR9659788,RNA-Seq,74,86890314,PRJNA553537,SAMN12237140,33509871,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420972,GSM3933951,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A1,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S19,GSM3933951,MCF7,SRP213890
SRR9659789,RNA-Seq,74,79551925,PRJNA553537,SAMN12237139,30786976,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420973,GSM3933952,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A10,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S46,GSM3933952,MCF7,SRP213890
SRR9659790,RNA-Seq,74,82151786,PRJNA553537,SAMN12237138,31795428,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420974,GSM3933953,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A11,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S47,GSM3933953,MCF7,SRP213890
SRR9659791,RNA-Seq,73,27519199,PRJNA553537,SAMN12237137,10625275,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6420975,GSM3933954,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A12,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S48,GSM3933954,MCF7,SRP213890
SRR9659792,RNA-Seq,74,113827773,PRJNA553537,SAMN12237136,43762027,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421008,GSM3933955,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A2,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S20,GSM3933955,MCF7,SRP213890
SRR9659793,RNA-Seq,74,112198906,PRJNA553537,SAMN12237135,43106379,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421009,GSM3933956,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A3,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S21,GSM3933956,MCF7,SRP213890
SRR9659794,RNA-Seq,74,91773139,PRJNA553537,SAMN12237134,35326069,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421010,GSM3933957,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A4,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S22,GSM3933957,MCF7,SRP213890
SRR9659795,RNA-Seq,74,14796092,PRJNA553537,SAMN12237133,5880046,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421011,GSM3933958,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A5,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S23,GSM3933958,MCF7,SRP213890
SRR9659796,RNA-Seq,74,64008097,PRJNA553537,SAMN12237132,24666531,MCF7,GEO,Norm,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421012,GSM3933959,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A6,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S24,GSM3933959,MCF7,SRP213890
SRR9659797,RNA-Seq,74,93061808,PRJNA553537,SAMN12237127,35873920,MCF7,GEO,hypoxia,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6421013,GSM3933960,Illumina HiSeq 4000,4,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,A7,ILLUMINA,2021-09-10T00:00:00Z,2019-07-09T13:57:00Z,1,S43,GSM3933960,MCF7,SRP213890
