chrom	n_snps	median_MAF	mean_MAF	fraction_MAF_le_0.30	fraction_MAF_le_0.20
chr1	185	0.304348	0.28439335135135135	0.4864864864864865	0.25405405405405407
chr2	221	0.402235	0.3719869909502262	0.22171945701357465	0.10407239819004525
chr3	115	0.38775499999999996	0.3482485652173913	0.2782608695652174	0.1391304347826087
chr4	106	0.31274500000000005	0.2917389622641509	0.4528301886792453	0.22641509433962265
chr5	118	0.22740049999999998	0.23023983898305087	0.7542372881355932	0.4067796610169492
chr6	135	0.41477299999999995	0.37492716296296297	0.2074074074074074	0.14074074074074075
chr7	82	0.346477	0.31849021951219514	0.3780487804878049	0.18292682926829268
chr8	111	0.393939	0.354838072072072	0.24324324324324326	0.11711711711711711
chr9	94	0.360663	0.3205391063829788	0.30851063829787234	0.1595744680851064
chr10	134	0.39672150000000006	0.3763423507462687	0.16417910447761194	0.08955223880597014
chr11	116	0.39202750000000003	0.3392658189655173	0.2672413793103448	0.1896551724137931
chr12	158	0.36363599999999996	0.3413679113924051	0.2848101265822785	0.16455696202531644
chr14	125	0.39375	0.3605363119999999	0.24	0.112
chr15	72	0.3614985	0.3488577916666667	0.2777777777777778	0.1388888888888889
chr16	164	0.37546999999999997	0.3451161219512195	0.2865853658536585	0.10975609756097561
chr17	141	0.357143	0.301070219858156	0.375886524822695	0.23404255319148937
chr19	197	0.28205100000000005	0.2871257614213198	0.5532994923857868	0.22842639593908629
chr20	102	0.333333	0.3186324803921569	0.4117647058823529	0.19607843137254902
chr22	101	0.342105	0.30676567326732673	0.37623762376237624	0.2079207920792079
